Modulname,Semester,CreditPoints,Typ
Höhere Mathematik 1 für Elektrotechnik,1,9,P
Grundlagen der Elektrotechnik 1,1,11,P
Grundlagen der Programmierung und technische Informatik,1,10,P
Höhere Mathematik 2 für Elektrotechnik,2,5,P
Grundlagen der Elektrotechnik 2,2,7,P
Physik,2,7,P
Digitaltechnik,2,4,P
Bauelemente und Grundschaltungen der Elektronik 1,2,7,P
Elektrische Messtechnik,3,8,P
Numerische Mathematik,3,4,P
Grundlagen der Regelungstechnik,3,8,P
Angewandte Leitungs- und Signaltheorie,3,8,P
Interdisziplinäres Projekt     ,5,6,P
Praxisprojekt      ,6,15,P
Bachelorarbeit      ,6,12,P
Bachelorkolloquium      ,6,3,P
54116,Allgemeine Fahrzeugsysteme     ,4,6,W
54121,Analoge Übertragungstechnik     ,4,6,W
55611,Angewandte Wahrscheinlichkeitsrechnung     ,4,6,W
55117,Automatisierungstechnik und Systeme     ,4,6,W
54122,BWL und Unternehmenskommunikation*     ,4,6,W
55112,Datenbuskommunikation     ,4,6,W
54112,Digitale Regelungs­ & Steuerungstechnik     ,4,6,W
54108,Digitale Signalverarbeitung     ,4,6,W
55119,Digitale Übertragungstechnik     ,4,6,W
55109,Elektrische Antriebssysteme     ,4,6,W
54114,Elektrische Energieanlagen     ,4,6,W
54103,Elektrische Maschinen     ,4,6,W
55609,Elektronikdesign und Sensoren     ,4,6,W
55666,EMv Prüf­ und Messtechnik     ,4,6,W
54115,Fahrzeugelektronik     ,4,6,W
54117,Fahrzeugsoftware     ,4,6,W
54120,Grundlagen der Hochfrequenztechnik     ,4,6,W
54119,Halbleiterschaltungstechnik     ,4,6,W
55634,Herausforderung Energiewende     ,4,6,W
55120,HF­Technik, Lokalisierung und RFID     ,4,6,W
55676,Imaging and Photonics     ,4,6,W
55650,Informationstheorie     ,4,6,W
55619,Kryptologie     ,4,6,W
55102,Leistungselektronik und Antriebe     ,4,6,W
54107,Mikrocontrollersysteme     ,4,6,W
55121,Modellierung und Simulation in der Elektrotechnik     ,4,6,W
55111,Sensoren und Aktoren     ,4,6,W
55122,Softwareentwicklung für Steuerungen     ,4,6,W
55671,Training allgemeiner Kompetenzen     ,4,2,S
55693,Technisches Englisch *)     ,4,2,S
55695,Lern­ und Selbstmanagement     ,4,2,S
55667,Kommunikationstechniken     ,4,2,S
55668,Wissenschaftliches Arbeiten     ,4,2,S
55669,Tutorenarbeit     ,4,2,S
55672,Gremientätigkeit     ,4,2,S
55670,studentische Projekte (K1 genehmigt)     ,4,2,S
