Modulnummer,Modulname,Semester,CreditPoints,Typ
55607,Bildverarbeitung,4,6,W
55757,Blended Commerce,4,6,W
55677,Business-IT Alignment (ITSM für Fortgeschrittene),4,6,W
55657,Computergrafik,4,6,W
55678,Development for Operations,4,6,W
55665,Einfuehrung in die KI,4,6,W
55679,Fehlertolerante Systeme,4,6,W
55768,Führen im IT-Umfeld,4,6,W
55760,Geschäftsprozessmanagement,4,6,W
55680,Grundlagen der Medieninformatik,4,6,W
55681,Grundlagen der Virtualisierung/Cloud Computing,4,6,W
55758,"Mobile Data, Sensors, Location",4,6,W
55664,IT Service Management,4,6,W
55660,IT-Forensik,4,6,W
55682,IT-Infrastruktur,4,6,W
55683,IT-Sicherheit II,4,6,W
55684,Infomrationssicherheitsmanagement,4,6,W
55619,Kryptologie,4,6,W
55763,Medienkompression und -übertragung,4,6,W
55756,Medienproduktion,4,6,W
55762,Mediensicherheit und -forensik,4,6,W
55685,Neue Programmiersprachen,4,6,W
55771,Requirements Engineering,4,6,W
55686,Robotik,4,6,W
55687,Simulation,4,6,W
55688,Software Design,4,6,W
55711,User Centered Projekt Management,4,6,W
55689,Verteilte Systeme 2,4,6,W
55690,Virtual Reality/Augmented Reality,4,6,W
55691,Wissenschaftliches Rechnen,4,6,W
55623,Angewandte Mathematik,4,6,W
55611,Angewandte Wahrscheinlichkeitsrechnung,4,6,W
55641,Big Data Analytics I,4,6,W
55642,Big Data Analytics II,4,6,W
55638,Digital Analytics,4,6,W
55746,Digitalisierung und Innovation,4,6,W
55685,Konzepte moderner Programmiersprachen,4,6,W
55636,Web Application Security,4,6,W
55639,Wissensrepräsentation und High­level control,4,6,W
55671,Training allgemeiner Kompetenzen,2,2,S
55693,Technisches Englisch,2,2,S
55695,Lern­ und Selbstmanagement,2,2,S
55667,Kommunikationstechniken,2,2,S
55668,Wissenschaftliches Arbeiten,2,2,S
55669,Tutorenarbeit,2,2,S
55672,Gremientätigkeit,2,2,S
55670,studentische Projekte (K1 genehmigt),2,2,S
