Modulname,Semester,CreditPoints,Typ
Grundlagen der Informatik und höhere Programmiersprache,1,11,P
Einführung in die Kommunikations- und Medientheorie,1,5,P
Grundlagen der Betriebswirtschaft,1,5,P
Grundlagen des Design,1,8,P
Journalistik,1,2,P
Grundlagen der Medieninformatik,2,6,P
Kontextbezogene Kommunikation,2,5,P
Mediendramaturgie,2,5,P
Journalistik II,2,2,P
Grundlagen des Rechnungswesens und der finanzorientierten,2,5,P
Wirtschaftsprivatrecht,2,5,P
Datenbanken und Webtechnologien,3,8,P
Medientechnik,3,8,P
Kommunikationstechniken,3,5,P
Grundlagen des Marketing,3,7,P
Projektmanagement,3,3,P
Wahlmodul 1     ,4,6,W
Wahlmodul 2     ,4,6,W
Wahlmodul 3     ,4,6,W
Wahlmodul 4     ,4,6,W
Wahlmodul 5     ,4,6,W
Wahlmodul 6     ,5,6,W
Wahlmodul 7     ,5,6,W
Wahlmodul 8     ,5,6,W
Wahlmodul 9     ,5,6,W
Interdisziplinäres,5,,P
Praxisprojekt,6,,P
Bachelor-Arbeit,6,,P
Kolloquium,6,,P
